id_transacao,data,hora,destinatario,valor,categoria,forma_pagamento
2417,2025-02-13,04:36:39,Loja de Utilidades Gonçalves,99.17,casa,cartão crédito
2418,2025-03-07,08:46:27,Teatro Paffaro,288.81,lazer,boleto
2419,2024-10-19,15:41:49,Estacionamento Paffaro,40.32,transporte,pix
2420,2025-05-30,07:10:43,Impostos Gonçalves,491.18,outros,cartão crédito
2421,2025-07-20,06:45:37,Papelaria Iamato,118.31,educação,pix
2422,2025-03-22,22:00:23,Impostos Paffaro,290.9,outros,cartão débito
2423,2025-09-27,08:52:11,Recarga de Celular Gonçalves,17.35,comunicação,pix
2424,2025-05-04,02:51:20,Consultoria Iamato,784.74,outros,cartão débito
2425,2025-09-20,16:51:58,Serviços Gerais Akimi,180.61,outros,pix
2426,2025-08-09,05:31:17,Serviços Gerais Akimi,407.73,outros,cartão crédito
2427,2025-08-27,02:10:46,Consultório Médico Gonçalves,305.21,saúde,cartão crédito
2428,2024-12-25,02:56:00,Estacionamento Akimi,57.94,transporte,boleto
2429,2024-11-26,07:56:07,Bar Akimi,38.91,lazer,cartão débito
2430,2025-09-17,18:27:28,Recarga de Celular Paffaro,73.35,comunicação,cartão débito
2431,2025-04-29,04:55:35,Loja de Departamentos Akimi,57.15,outros,pix
2432,2025-02-02,06:55:22,Cinema Iamato,91.92,lazer,pix
2433,2025-09-12,09:10:57,Impostos Akimi,242.93,outros,boleto
2434,2025-01-16,12:49:37,Supermercado Akimi,262.59,alimentação,boleto
2435,2024-12-27,19:25:23,Eletricista Iamato,137.62,casa,boleto
2436,2025-05-01,20:57:32,Hortifruti Gonçalves,23.26,alimentação,boleto
2437,2025-02-10,22:09:58,Aluguel Iamato,3771.05,casa,boleto
2438,2025-02-02,16:55:47,Farmácia Gonçalves,275.24,saúde,cartão crédito
2439,2025-06-23,08:05:21,Hortifruti Paffaro,89.06,alimentação,cartão crédito
2440,2025-07-27,22:02:10,Lanchonete Gonçalves,49.77,alimentação,boleto
2441,2025-08-20,02:35:24,Serviços Postais Paffaro,16.87,comunicação,boleto
2442,2025-06-03,05:41:13,Metrô Akimi,10.2,transporte,cartão débito
2443,2024-11-03,02:56:06,Provedor de Internet Gonçalves,231.94,comunicação,pix
2444,2025-03-11,16:24:16,Material de Construção Iamato,2538.5,casa,cartão crédito
2445,2025-04-07,11:49:22,Serviços Gerais Gonçalves,554.54,outros,cartão débito
2446,2025-04-19,09:07:43,Companhia Telefônica Akimi,61.07,comunicação,cartão débito
2447,2025-01-15,10:32:31,Provedor de Internet Gonçalves,264.53,comunicação,cartão débito
2448,2025-08-11,23:56:39,Academia Gonçalves,237.11,despesas pessoais,cartão débito
2449,2024-11-02,23:45:48,Companhia Telefônica Gonçalves,71.11,comunicação,pix
2450,2024-10-23,07:14:24,Papelaria Iamato,31.47,educação,boleto
2451,2025-07-07,20:51:18,Loja de Móveis Paffaro,1104.47,casa,pix
2452,2025-02-05,16:35:57,Consultório Médico Iamato,352.33,saúde,boleto
2453,2025-02-04,09:06:09,Pedágio Paffaro,46.17,transporte,boleto
2454,2024-10-18,12:03:03,Companhia Telefônica Gonçalves,224.73,comunicação,pix
2455,2025-08-10,20:41:34,Companhia Telefônica Paffaro,219.3,comunicação,pix
2456,2024-12-24,09:49:55,Hospital Iamato,302.36,saúde,boleto
2457,2025-06-02,02:34:37,Restaurante Paffaro,143.7,alimentação,pix
2458,2025-01-30,17:17:48,Laboratório Iamato,209.67,saúde,cartão débito
2459,2025-10-10,19:59:24,Loja de Roupas Paffaro,209.98,despesas pessoais,boleto
2460,2025-04-28,02:39:51,Loja de Departamentos Akimi,364.55,outros,boleto
2461,2025-08-09,22:06:32,Supermercado Akimi,1053.27,alimentação,cartão crédito
2462,2025-03-22,11:54:10,Salão de Beleza Akimi,193.31,despesas pessoais,cartão débito
2463,2025-01-19,21:34:38,Livraria Gonçalves,248.14,educação,pix
2464,2025-08-03,02:04:38,Perfumaria Paffaro,443.81,despesas pessoais,boleto
2465,2025-09-08,18:24:42,Pedágio Paffaro,61.57,transporte,boleto
2466,2025-09-24,07:41:43,Clínica Odontológica Iamato,1011.91,saúde,cartão crédito
2467,2025-02-02,02:17:59,Agência de Viagens Iamato,4555.12,lazer,cartão débito
2468,2024-10-19,13:01:11,Loja de Móveis Akimi,1596.32,casa,pix
2469,2025-01-04,18:28:23,Estacionamento Paffaro,124.58,transporte,boleto
2470,2024-11-13,06:06:18,Escola Akimi,1817.98,educação,cartão crédito
2471,2025-08-17,18:06:36,Impostos Gonçalves,878.77,outros,cartão crédito
2472,2025-01-26,13:57:28,Livraria Gonçalves,178.84,educação,boleto
2473,2025-02-05,10:12:28,Livraria Paffaro,254.63,despesas pessoais,cartão crédito
2474,2025-07-28,13:35:35,Streaming Akimi,27.79,lazer,cartão débito
2475,2024-10-24,01:31:34,Clínica Odontológica Paffaro,1039.64,saúde,cartão crédito
2476,2025-04-05,18:25:05,Empresa de Ônibus Iamato,90.7,transporte,cartão débito
2477,2025-08-11,08:49:30,Farmácia Gonçalves,195.0,saúde,pix
2478,2025-03-13,04:59:16,Consultório Médico Gonçalves,508.74,saúde,boleto
2479,2024-10-28,06:20:44,Consultoria Akimi,1251.67,outros,pix
2480,2025-01-18,12:45:15,Consultório Médico Gonçalves,511.22,saúde,pix
2481,2025-04-09,03:55:55,Provedor de Internet Akimi,290.67,comunicação,cartão crédito
2482,2025-07-03,15:14:10,Academia Gonçalves,181.06,despesas pessoais,boleto
2483,2025-04-29,11:02:16,Aluguel Gonçalves,2317.86,casa,boleto
2484,2025-04-04,04:28:25,Cafeteria Paffaro,27.82,alimentação,boleto
2485,2025-04-22,20:53:36,Loja de Calçados Akimi,92.78,despesas pessoais,cartão crédito
2486,2025-07-28,04:44:43,Material de Construção Gonçalves,603.68,casa,pix
2487,2024-11-20,10:26:59,Estacionamento Gonçalves,88.01,transporte,cartão débito
2488,2025-07-07,17:11:47,Posto de Gasolina Iamato,95.25,transporte,cartão débito
2489,2024-11-23,13:42:30,Plano de Saúde Akimi,1319.02,saúde,cartão débito
2490,2025-03-15,21:56:52,Empresa de Ônibus Gonçalves,41.57,transporte,cartão crédito
2491,2025-07-12,07:26:41,Curso Online Paffaro,868.76,educação,cartão crédito
2492,2025-04-11,07:34:13,Loja de Calçados Akimi,183.74,despesas pessoais,cartão débito
2493,2025-04-04,22:17:36,Aluguel Gonçalves,2019.26,casa,cartão débito
2494,2024-12-21,01:05:04,Companhia Telefônica Paffaro,243.34,comunicação,boleto
2495,2025-06-16,19:57:09,Loja de Departamentos Akimi,322.42,outros,cartão crédito
2496,2025-04-29,18:32:00,Clínica Odontológica Iamato,1020.59,saúde,cartão crédito
2497,2025-04-03,13:43:46,Loja de Decoração Akimi,239.71,casa,boleto
2498,2025-06-01,22:53:51,Laboratório Akimi,728.18,saúde,boleto
2499,2024-12-01,11:48:13,Barbearia Akimi,41.83,despesas pessoais,cartão crédito
2500,2025-09-28,17:43:34,Conta de Luz Akimi,229.0,casa,cartão crédito
2501,2025-09-28,18:17:31,Lanchonete Iamato,18.7,alimentação,cartão débito
2502,2025-09-18,11:17:44,Agência de Viagens Akimi,1934.05,lazer,pix
2503,2025-10-15,17:27:04,Serviços Gerais Akimi,573.58,outros,boleto
2504,2025-04-14,07:03:02,Supermercado Gonçalves,576.34,alimentação,boleto
2505,2025-04-02,01:10:18,Farmácia Iamato,46.16,saúde,pix
2506,2025-01-16,19:21:31,Loja de Calçados Paffaro,364.43,despesas pessoais,boleto
2507,2025-03-07,23:31:39,Serviços Gerais Paffaro,359.18,outros,pix
2508,2025-05-16,02:14:08,Oficina Mecânica Paffaro,2964.44,transporte,cartão crédito
2509,2025-05-21,11:14:22,Provedor de Internet Iamato,261.19,comunicação,cartão crédito
2510,2025-02-21,00:24:19,Loja de Departamentos Gonçalves,328.76,outros,boleto
2511,2024-10-19,11:08:21,Eletricista Iamato,300.13,casa,boleto
2512,2024-12-25,23:19:58,Provedor de Internet Akimi,178.17,comunicação,cartão débito
2513,2025-09-21,11:33:43,Serviços Gerais Iamato,640.62,outros,cartão débito
2514,2025-01-05,15:59:14,Serviços Postais Gonçalves,5.62,comunicação,cartão crédito
2515,2024-12-07,06:41:31,Loja de Calçados Akimi,91.56,despesas pessoais,cartão crédito
2516,2025-05-25,20:15:43,Oficina Mecânica Paffaro,2298.57,transporte,boleto
2517,2025-09-21,23:14:56,Plano de Saúde Paffaro,1288.82,saúde,cartão débito
2518,2025-07-04,21:04:40,Loja de Departamentos Paffaro,436.34,outros,pix
2519,2025-04-24,06:52:09,Curso de Idiomas Paffaro,272.54,educação,pix
2520,2025-02-18,23:35:16,Livraria Gonçalves,196.99,despesas pessoais,boleto
2521,2025-06-26,08:20:53,Salão de Beleza Gonçalves,76.74,despesas pessoais,pix
2522,2025-01-09,14:54:44,Bar Paffaro,162.78,lazer,pix
2523,2025-03-26,23:28:14,Impostos Gonçalves,1946.37,outros,boleto
2524,2025-04-17,22:57:57,Livraria Akimi,168.61,despesas pessoais,cartão crédito
2525,2025-02-15,08:51:02,Bar Akimi,156.78,lazer,cartão débito
2526,2024-11-19,01:50:24,Recarga de Celular Iamato,39.78,comunicação,boleto
2527,2025-01-23,01:15:01,Oficina Mecânica Akimi,2607.28,transporte,pix
2528,2025-03-11,12:08:21,Material de Construção Paffaro,3071.42,casa,boleto
2529,2025-07-02,06:50:04,Recarga de Celular Iamato,57.43,comunicação,cartão débito
2530,2025-07-10,10:52:05,Parque Akimi,46.96,lazer,cartão débito
2531,2025-01-09,07:08:20,Loja de Departamentos Iamato,192.9,outros,boleto
2532,2025-01-18,12:25:21,Conta de Água Gonçalves,158.93,casa,boleto
2533,2025-06-21,08:36:18,Plano de Saúde Gonçalves,610.44,saúde,boleto
2534,2025-03-26,23:25:07,Consultoria Paffaro,398.71,outros,cartão débito
2535,2024-11-09,10:27:51,Farmácia Iamato,110.78,saúde,cartão crédito
2536,2025-01-23,22:34:38,Supermercado Iamato,1057.67,alimentação,boleto
2537,2025-03-17,06:32:48,Curso Online Akimi,787.54,educação,boleto
2538,2025-04-19,07:12:24,Clínica Odontológica Paffaro,824.39,saúde,cartão débito
2539,2025-03-09,07:04:25,Escola Akimi,1204.07,educação,cartão débito
2540,2024-10-21,08:44:13,Loja de Decoração Gonçalves,489.44,casa,boleto
2541,2025-04-27,19:31:47,Loja de Roupas Paffaro,158.49,despesas pessoais,cartão débito
2542,2025-03-14,08:02:55,Lanchonete Akimi,43.76,alimentação,cartão crédito
2543,2025-04-22,09:42:15,Empresa de Ônibus Paffaro,48.15,transporte,cartão débito
2544,2025-05-29,13:16:16,Streaming Gonçalves,25.67,lazer,cartão débito
2545,2025-06-11,18:15:59,Consultoria Gonçalves,605.39,outros,boleto
2546,2024-11-04,15:52:52,Serviços Gerais Paffaro,247.06,outros,cartão débito
2547,2025-10-17,07:02:54,Loja de Roupas Iamato,275.48,despesas pessoais,cartão crédito
2548,2025-02-01,00:56:50,Pet Shop Gonçalves,249.99,despesas pessoais,cartão débito
2549,2024-12-15,22:30:10,App de Transporte Paffaro,45.15,transporte,boleto
2550,2025-05-24,18:32:28,Farmácia Akimi,234.6,saúde,boleto
2551,2025-07-03,04:24:57,Loja de Móveis Akimi,1443.31,casa,boleto
2552,2025-08-19,02:15:41,Plano de Saúde Gonçalves,1499.49,saúde,pix
2553,2024-11-21,23:41:21,Impostos Akimi,1199.3,outros,cartão crédito
2554,2025-07-28,16:51:59,Hospital Gonçalves,1792.04,saúde,boleto
2555,2025-05-15,04:32:58,Mercado Gonçalves,262.18,alimentação,pix
2556,2024-12-10,01:10:25,Companhia Telefônica Akimi,223.37,comunicação,pix
2557,2024-12-25,05:00:49,Aluguel Akimi,2820.06,casa,cartão crédito
2558,2025-05-23,22:18:25,Eletricista Akimi,311.33,casa,pix
2559,2025-03-19,13:07:18,Laboratório Iamato,725.87,saúde,boleto
2560,2025-04-26,09:04:13,Clínica Odontológica Gonçalves,1235.66,saúde,cartão crédito
2561,2025-09-16,02:59:02,Eletricista Gonçalves,502.99,casa,boleto
2562,2025-06-29,07:45:08,Clínica Odontológica Iamato,117.21,saúde,pix
2563,2025-03-26,04:38:47,Curso de Idiomas Akimi,593.08,educação,cartão débito
2564,2025-07-26,00:36:46,Teatro Paffaro,232.42,lazer,pix
2565,2025-02-06,07:57:08,Agência de Viagens Gonçalves,2189.21,lazer,cartão crédito
2566,2025-01-21,05:16:30,Plano de Saúde Paffaro,1516.9,saúde,boleto
2567,2025-02-13,15:37:09,Cafeteria Akimi,43.64,alimentação,cartão débito
2568,2025-05-16,19:53:03,Hospital Gonçalves,1839.01,saúde,cartão crédito
2569,2025-03-08,17:14:22,Metrô Iamato,42.57,transporte,cartão crédito
2570,2025-09-21,18:15:39,Sorveteria Akimi,31.5,alimentação,cartão crédito
2571,2025-05-25,13:43:37,Papelaria Paffaro,25.45,educação,pix
2572,2025-02-06,23:56:40,Livraria Gonçalves,152.28,despesas pessoais,cartão débito
2573,2025-08-31,22:22:39,Serviços Postais Gonçalves,41.41,comunicação,boleto
2574,2025-04-22,15:42:58,Consultoria Iamato,1383.19,outros,cartão crédito
2575,2025-06-30,12:38:36,Loja de Móveis Paffaro,1856.0,casa,cartão crédito
2576,2025-02-05,19:47:52,Cafeteria Gonçalves,43.86,alimentação,boleto
2577,2025-07-23,23:51:52,Livraria Akimi,106.75,educação,boleto
2578,2024-12-22,12:32:50,Plano de Saúde Akimi,1257.52,saúde,cartão crédito
2579,2025-06-07,12:24:23,Curso Online Iamato,562.71,educação,cartão débito
2580,2024-11-06,00:42:52,Serviços Postais Akimi,42.68,comunicação,pix
2581,2024-12-14,08:30:34,Livraria Akimi,41.63,despesas pessoais,cartão crédito
2582,2025-09-08,11:20:43,Escola Akimi,1514.18,educação,cartão débito
2583,2025-06-12,00:01:08,Escola Akimi,1086.63,educação,pix
2584,2024-12-04,19:58:07,Impostos Akimi,429.56,outros,cartão crédito
2585,2024-11-02,17:39:55,Curso de Idiomas Akimi,578.96,educação,cartão débito
2586,2025-06-24,05:20:05,Plano de Saúde Gonçalves,1086.07,saúde,pix
2587,2025-08-11,03:14:26,Escola Iamato,1164.51,educação,cartão crédito
2588,2025-07-06,15:44:51,Loja de Jogos Iamato,97.37,lazer,boleto
2589,2025-07-13,21:25:20,Livraria Gonçalves,93.66,educação,cartão débito
2590,2025-07-29,22:31:40,Streaming Iamato,26.5,lazer,boleto
2591,2025-06-15,04:37:16,Loja de Departamentos Iamato,119.65,outros,cartão débito
2592,2025-09-10,15:41:43,Conta de Luz Akimi,136.0,casa,cartão débito
2593,2025-07-03,01:27:35,Lanchonete Iamato,72.7,alimentação,pix
2594,2025-09-04,07:30:54,Faculdade Paffaro,4902.35,educação,cartão crédito
2595,2025-08-22,05:57:10,Clínica Odontológica Akimi,175.06,saúde,cartão débito
2596,2024-11-10,05:44:20,Eletricista Paffaro,183.69,casa,cartão débito
2597,2025-08-27,07:41:45,Streaming Gonçalves,47.15,lazer,cartão crédito
2598,2024-11-27,16:48:03,Serviços Postais Iamato,48.17,comunicação,boleto
2599,2025-01-06,08:55:09,Academia Paffaro,205.75,despesas pessoais,cartão débito
2600,2025-07-28,19:36:34,Escola Gonçalves,1732.47,educação,cartão débito
2601,2025-02-06,09:47:52,Conta de Luz Iamato,254.26,casa,boleto
2602,2025-07-17,23:51:39,Recarga de Celular Paffaro,37.71,comunicação,cartão crédito
2603,2025-03-15,05:33:39,App de Transporte Paffaro,22.58,transporte,cartão débito
2604,2024-12-10,18:14:24,Clínica Odontológica Iamato,1049.06,saúde,pix
2605,2025-06-17,12:08:38,Curso Online Akimi,198.24,educação,cartão débito
2606,2024-12-19,10:57:12,Material de Construção Iamato,476.82,casa,cartão crédito
2607,2025-10-05,06:48:52,Livraria Gonçalves,250.61,despesas pessoais,cartão débito
2608,2025-04-05,22:11:31,Cafeteria Akimi,48.42,alimentação,cartão crédito
2609,2025-04-09,09:26:48,Laboratório Paffaro,738.13,saúde,cartão débito
2610,2025-06-12,17:08:53,Serviços Gerais Gonçalves,360.08,outros,cartão crédito
2611,2025-08-09,17:25:20,Academia Akimi,139.19,despesas pessoais,cartão crédito
2612,2025-07-04,23:26:17,Mercado Gonçalves,279.03,alimentação,pix
2613,2025-08-17,17:55:10,Curso Online Gonçalves,355.86,educação,cartão débito
2614,2024-12-26,02:11:23,Farmácia Gonçalves,257.61,saúde,cartão crédito
2615,2025-02-11,10:05:48,Serviços Gerais Paffaro,414.88,outros,cartão crédito
2616,2025-07-27,15:56:53,Mercado Gonçalves,181.48,alimentação,cartão crédito
2617,2025-10-13,21:50:02,Agência de Viagens Paffaro,3537.97,lazer,boleto
2618,2025-02-13,04:27:28,Padaria Gonçalves,61.28,alimentação,cartão crédito
2619,2025-05-09,20:44:38,Impostos Gonçalves,898.65,outros,pix
2620,2024-12-27,01:25:59,Eletricista Paffaro,646.29,casa,cartão débito
2621,2025-05-18,01:40:40,Estacionamento Paffaro,77.22,transporte,cartão débito
2622,2025-03-24,12:27:09,Pedágio Iamato,74.74,transporte,cartão crédito
2623,2025-08-28,10:15:05,Supermercado Paffaro,446.34,alimentação,cartão débito
2624,2025-02-11,22:41:32,Laboratório Akimi,164.9,saúde,cartão débito
2625,2025-07-17,17:54:41,Companhia Telefônica Iamato,74.18,comunicação,cartão crédito
2626,2025-04-07,08:49:30,Recarga de Celular Gonçalves,85.98,comunicação,cartão crédito
2627,2025-07-23,07:19:43,Empresa de Ônibus Akimi,46.4,transporte,cartão débito
2628,2024-12-05,11:34:54,Consultoria Akimi,2705.43,outros,boleto
2629,2024-11-05,02:30:29,Streaming Gonçalves,53.15,lazer,pix
2630,2025-01-12,02:03:02,Parque Paffaro,12.02,lazer,pix
2631,2025-05-22,21:41:46,Faculdade Paffaro,4510.69,educação,pix
2632,2025-02-02,08:09:20,Impostos Iamato,433.01,outros,boleto
2633,2025-08-08,07:15:58,Loja de Peças Iamato,181.15,transporte,pix
2634,2024-11-21,09:18:52,Farmácia Akimi,242.41,saúde,cartão crédito
2635,2025-05-02,12:08:24,Aluguel Akimi,905.55,casa,pix
2636,2025-08-23,17:52:09,Salão de Beleza Iamato,292.3,despesas pessoais,cartão débito
2637,2025-08-13,00:33:11,Supermercado Paffaro,310.46,alimentação,boleto
2638,2025-05-05,09:06:11,Pet Shop Paffaro,94.3,despesas pessoais,cartão débito
2639,2025-02-21,21:15:59,Provedor de Internet Gonçalves,177.55,comunicação,cartão crédito
2640,2025-04-19,09:55:09,Laboratório Paffaro,418.04,saúde,cartão crédito
2641,2025-09-28,06:38:43,Loja de Calçados Iamato,571.87,despesas pessoais,pix
2642,2025-09-12,00:52:09,Curso Online Iamato,465.05,educação,pix
2643,2025-08-14,21:24:37,Serviços Postais Akimi,8.49,comunicação,boleto
2644,2025-07-18,21:23:38,Hospital Iamato,2667.03,saúde,cartão crédito
2645,2025-05-14,08:39:48,Loja de Calçados Paffaro,196.5,despesas pessoais,boleto
2646,2024-10-30,20:37:26,Clínica Odontológica Gonçalves,572.2,saúde,boleto
2647,2025-01-25,12:22:49,Academia Gonçalves,228.52,despesas pessoais,pix
2648,2025-04-23,17:21:47,Loja de Jogos Paffaro,294.19,lazer,pix
2649,2024-11-19,21:48:55,Empresa de Ônibus Iamato,69.53,transporte,pix
2650,2025-09-19,05:08:53,Loja de Roupas Paffaro,213.16,despesas pessoais,cartão crédito
2651,2025-08-18,00:46:07,Estacionamento Akimi,39.63,transporte,cartão crédito
2652,2025-04-19,06:11:44,Oficina Mecânica Akimi,814.61,transporte,cartão crédito
2653,2025-01-20,06:50:14,Loja de Peças Iamato,437.0,transporte,boleto
2654,2024-11-06,00:58:59,Açougue Iamato,147.92,alimentação,cartão débito
2655,2025-02-14,00:47:44,Provedor de Internet Iamato,129.2,comunicação,cartão crédito
2656,2025-05-07,22:16:52,Estacionamento Paffaro,51.07,transporte,boleto
2657,2024-12-19,05:54:40,Consultório Médico Iamato,582.83,saúde,pix
2658,2025-09-22,16:03:08,Impostos Gonçalves,1764.21,outros,pix
2659,2025-03-17,23:00:43,Empresa de Ônibus Akimi,92.69,transporte,cartão débito
2660,2025-07-24,11:24:29,Posto de Gasolina Paffaro,68.69,transporte,cartão crédito
2661,2025-09-11,14:44:48,Serviços Gerais Iamato,582.22,outros,boleto
2662,2025-04-10,20:18:36,Eletricista Paffaro,477.88,casa,cartão crédito
2663,2025-08-11,18:52:16,Doação Paffaro,335.27,outros,cartão crédito
2664,2025-03-13,23:46:26,Loja de Departamentos Paffaro,64.75,outros,cartão crédito
2665,2025-05-30,13:44:47,Loja de Móveis Iamato,2847.52,casa,pix
2666,2025-08-10,00:51:06,Conta de Luz Iamato,289.6,casa,cartão crédito
2667,2025-03-25,18:28:03,Hospital Iamato,2857.74,saúde,boleto
2668,2024-10-21,15:44:07,Curso de Idiomas Akimi,601.6,educação,cartão crédito
2669,2025-05-06,12:21:44,App de Transporte Akimi,50.18,transporte,pix
2670,2025-03-29,00:40:06,Loja de Peças Akimi,633.91,transporte,boleto
2671,2025-05-30,22:09:42,Doação Iamato,473.4,outros,cartão crédito
2672,2025-09-23,02:53:54,Serviços Postais Paffaro,26.74,comunicação,boleto
2673,2025-07-04,03:48:24,Consultoria Iamato,1931.73,outros,cartão crédito
2674,2025-06-16,22:39:39,Loja de Calçados Paffaro,131.54,despesas pessoais,cartão crédito
2675,2024-12-01,14:29:29,Consultório Médico Akimi,361.08,saúde,cartão débito
2676,2024-11-06,02:16:47,App de Transporte Paffaro,26.31,transporte,boleto
2677,2024-12-11,11:28:51,Pet Shop Paffaro,186.93,despesas pessoais,boleto
2678,2025-08-22,05:32:36,Recarga de Celular Gonçalves,75.07,comunicação,cartão débito
2679,2025-04-20,23:14:17,Papelaria Akimi,76.78,educação,boleto
2680,2025-05-26,09:42:02,Loja de Móveis Iamato,1621.38,casa,boleto
2681,2025-04-13,11:55:59,Provedor de Internet Paffaro,122.98,comunicação,cartão crédito
2682,2025-05-15,12:01:31,Doação Iamato,176.27,outros,pix
2683,2025-03-01,00:45:50,Doação Iamato,469.54,outros,cartão débito
2684,2025-03-15,22:18:30,Agência de Viagens Gonçalves,4715.67,lazer,boleto
2685,2025-07-29,02:13:23,Sorveteria Paffaro,25.15,alimentação,pix
2686,2025-09-22,06:31:48,Loja de Móveis Iamato,514.6,casa,boleto
2687,2024-11-11,14:23:25,Agência de Viagens Iamato,783.98,lazer,cartão débito
2688,2025-08-16,06:49:19,Plano de Saúde Iamato,1753.76,saúde,cartão débito
2689,2025-06-13,17:21:25,Pedágio Iamato,20.28,transporte,pix
2690,2025-06-09,17:45:02,Pet Shop Paffaro,285.17,despesas pessoais,cartão crédito
2691,2025-09-05,05:27:25,Companhia Telefônica Gonçalves,191.79,comunicação,boleto
2692,2024-11-20,22:54:33,Plano de Saúde Akimi,626.71,saúde,cartão débito
2693,2025-08-08,13:20:08,Parque Akimi,69.98,lazer,cartão débito
2694,2025-02-24,23:27:08,Loja de Roupas Iamato,538.51,despesas pessoais,cartão crédito
2695,2025-03-10,15:50:14,Empresa de Ônibus Iamato,73.08,transporte,pix
2696,2025-04-30,22:32:36,Laboratório Gonçalves,450.97,saúde,cartão débito
2697,2025-05-24,04:05:42,Impostos Akimi,1156.31,outros,cartão débito
2698,2025-09-29,14:25:49,Livraria Gonçalves,49.2,despesas pessoais,cartão débito
2699,2025-04-25,08:33:07,Loja de Utilidades Iamato,35.26,casa,cartão débito
2700,2025-03-30,09:37:52,Loja de Peças Paffaro,393.81,transporte,boleto
2701,2025-05-21,19:40:02,Agência de Viagens Iamato,528.76,lazer,boleto
2702,2025-08-25,15:22:09,Serviços Gerais Iamato,352.89,outros,cartão débito
2703,2025-07-04,10:38:16,Loja de Utilidades Paffaro,73.47,casa,boleto
2704,2025-03-26,17:22:12,Curso Online Akimi,423.12,educação,cartão crédito
2705,2025-03-09,07:32:53,Parque Paffaro,26.97,lazer,pix
2706,2024-11-01,18:01:19,Loja de Peças Akimi,252.83,transporte,cartão débito
2707,2025-01-19,13:48:08,Supermercado Akimi,840.82,alimentação,pix
2708,2025-03-10,22:56:01,Consultório Médico Akimi,150.41,saúde,boleto
2709,2025-05-10,18:13:38,Conta de Luz Paffaro,212.88,casa,boleto
2710,2025-01-18,00:01:22,Açougue Gonçalves,65.22,alimentação,boleto
2711,2024-12-01,10:49:09,Plano de Saúde Gonçalves,484.01,saúde,cartão crédito
2712,2025-07-18,02:35:05,Oficina Mecânica Paffaro,2580.9,transporte,cartão débito
2713,2025-08-27,10:21:11,Faculdade Akimi,2060.87,educação,cartão crédito
2714,2025-06-16,23:08:45,Salão de Beleza Akimi,205.41,despesas pessoais,cartão crédito
2715,2025-02-14,22:14:12,Bar Gonçalves,235.26,lazer,boleto
2716,2025-03-07,05:07:31,Posto de Gasolina Gonçalves,88.55,transporte,cartão crédito
2717,2024-12-23,04:01:18,Consultório Médico Iamato,218.68,saúde,cartão débito
2718,2025-06-21,08:42:38,Loja de Decoração Akimi,317.16,casa,pix
2719,2025-06-17,03:58:24,Pet Shop Paffaro,109.28,despesas pessoais,pix
2720,2025-03-14,18:07:22,Bar Paffaro,205.74,lazer,boleto
2721,2025-09-03,10:47:54,Companhia Telefônica Iamato,185.91,comunicação,cartão débito
2722,2025-03-15,10:56:41,Companhia Telefônica Gonçalves,219.87,comunicação,boleto
2723,2024-11-27,13:55:10,Salão de Beleza Gonçalves,213.86,despesas pessoais,pix
2724,2025-05-13,23:22:10,App de Transporte Iamato,34.07,transporte,cartão débito
2725,2025-07-15,09:28:41,Plano de Saúde Akimi,1524.87,saúde,cartão débito
2726,2025-01-13,20:44:39,Loja de Departamentos Gonçalves,401.89,outros,cartão débito
2727,2024-12-19,10:59:26,Curso Online Akimi,454.95,educação,pix
2728,2025-04-15,15:02:58,Serviços Postais Paffaro,21.24,comunicação,cartão crédito
2729,2025-05-25,22:42:16,Loja de Utilidades Gonçalves,93.9,casa,cartão crédito
2730,2025-08-07,10:11:00,Curso Online Iamato,561.35,educação,cartão débito
2731,2025-10-04,07:40:20,Loja de Móveis Akimi,367.69,casa,cartão débito
2732,2025-05-01,01:04:45,Empresa de Ônibus Akimi,52.29,transporte,pix
2733,2025-09-23,21:18:49,Doação Akimi,303.97,outros,cartão crédito
2734,2025-07-02,14:07:36,Serviços Gerais Paffaro,121.0,outros,pix
2735,2024-11-12,07:06:29,Academia Iamato,211.5,despesas pessoais,cartão crédito
2736,2025-09-08,13:03:13,Conta de Água Iamato,74.43,casa,pix
2737,2025-02-22,06:25:54,Doação Akimi,459.96,outros,cartão débito
2738,2025-07-23,05:00:45,Serviços Gerais Akimi,499.8,outros,pix
2739,2025-06-20,09:19:16,Estacionamento Akimi,100.4,transporte,cartão débito
2740,2024-11-25,00:47:05,Hospital Akimi,2751.6,saúde,pix
2741,2025-01-08,12:25:10,Eletricista Paffaro,615.41,casa,cartão débito
2742,2025-04-25,11:41:58,Faculdade Iamato,2153.99,educação,boleto
2743,2025-05-02,00:05:32,Restaurante Gonçalves,170.96,alimentação,boleto
2744,2025-07-22,13:07:56,Sorveteria Akimi,34.58,alimentação,pix
2745,2025-06-18,12:10:24,Lanchonete Gonçalves,77.62,alimentação,pix
2746,2025-02-24,06:52:08,Laboratório Gonçalves,380.06,saúde,boleto
2747,2025-10-14,15:13:08,Show Paffaro,779.43,lazer,cartão crédito
2748,2025-05-09,04:33:16,Barbearia Iamato,67.35,despesas pessoais,cartão débito
2749,2025-05-28,03:08:08,Companhia Telefônica Paffaro,89.0,comunicação,pix
2750,2025-03-26,21:41:57,Padaria Iamato,13.7,alimentação,cartão débito
2751,2024-12-01,22:42:45,Doação Iamato,329.47,outros,cartão crédito
